Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Cocoon Srl (Lissone),039 482499,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di imballaggi in materie plastiche,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.22 Fabbricazione di imballaggi in materie plastiche | fatturato 9.665.328 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Ettore Majorana, 30/32 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/cocoon-srl-00724000153 | telefono: PG «cocoon» in lissone → Cocoon S.r.l. | Via Ferrini Contardo, 2/D - 20851 Lissone (MB)",
Fratelli Vismara Srl (Lissone),039 2781193,Metalmeccanica e officine,"Fabbricazione di ascensori, montacarichi e scale mobili",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.22.01 Fabbricazione di ascensori, montacarichi e scale mobili | fatturato 5.797.409 EUR (2024) | dipendenti da 10 a 15 | 8 km da Seveso | Via Padre Semeria, 10 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/fratelli-vismara-srl-02356320966 | telefono: PG «fratelli vismara» in lissone → Fratelli Vismara S.r.l. | Via Semeria Padre, 10 - 20851 Lissone (MB)",
Brianpack S.r.l. (Lissone),039 463267,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 17.21 Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone | fatturato 5.106.155 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Leonardo Da Vinci, 49/51 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/brianpack-srl-03150130965 | telefono: PG «brianpack» in lissone → Brianpack S.r.l. | Via Leonardo da Vinci, 51 - 20851 Lissone (MB)",
Puk Italia Group Srl (Lissone),"039 2457920, 039 2457921, 039 2457924, 039 5251749, 039 2185066, 039 2209711","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altre apparecchiature per illuminazione,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27.40.09 Fabbricazione di altre apparecchiature per illuminazione | fatturato 4.838.086 EUR (2024) | dipendenti da 10 a 15 | 8 km da Seveso | Via San Giorgio, 16 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/puk-italia-group-srl-08644250964 | telefono: PG «puk» in lissone → Puk Italia Group S.r.l. | Via San Giorgio, 16 - 20851 Lissone (MB)",
Msl S.r.l. (Lissone),039 460804,Metalmeccanica e officine,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.29.99 Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca | fatturato 4.544.480 EUR (2024) | dipendenti da 16 a 19 | 8 km da Seveso | Via Delle Industrie, 31 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/msl-srl-05249710962 | telefono: PG «msl» in lissone → Msl S.r.l. | Via delle Industrie, 31 - 20851 Lissone (MB)",
Ipm S.r.l. (Lissone),"039 2145244, 039 2145245",Metalmeccanica e officine,Fabbricazione di altre macchine di impiego generale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.2 Fabbricazione di altre macchine di impiego generale | fatturato 3.452.589 EUR (2023) | dipendenti da 20 a 49 | 8 km da Seveso | Via Madre Teresa, 22 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/ipm-srl-08739150152 | telefono: PG «ipm» in lissone → Ipm S.r.l. | Via Madre Teresa, 22 - 20851 Lissone (MB)",
Elimont Srl (Lissone),039 465295,Metalmeccanica e officine,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 33.20.03 Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali) | fatturato 3.059.198 EUR (2024) | dipendenti da 20 a 49 | 8 km da Seveso | Via Damiano Chiesa, 50 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/elimont-srl-07934050159 | telefono: PG «elimont» in lissone → Elimont | Via Cadore, 21 - 20851 Lissone (MB)",
Edil 3 Srl (Lissone),"039 2459872, 039 4669902",Impiantistica e cantieri,Costruzione di edifici residenziali e non residenziali,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Impiantistica e cantieri | ATECO 41.2 Costruzione di edifici residenziali e non residenziali | fatturato 2.624.362 EUR (2024) | dipendenti da 6 a 9 | 8 km da Seveso | Viale Valassina, 64 - | GANCIO: Stato avanzamento cantieri e SAL: quanto e' fatto e quanto e' fatturabile, per commessa | fonte companyreports.it/edil-3-srl-01513240158 | telefono: PG «edil» in lissone → Edil 3 | Via San Filippo Neri, 42 - 20851 Lissone (MB)",
Sala Technology S.r.l. (Lissone),039 2459921,Metalmeccanica e officine,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.93 Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco | fatturato 2.008.213 EUR (2024) | dipendenti da 6 a 9 | 8 km da Seveso | Via Del Legno, 5 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/sala-technology-srl-06510560961 | telefono: PG «sala technology» in lissone → Sala Technology S.r.l. | Via del Legno, 5 - 20851 Lissone (MB)",
Riboldi S.r.l. (Lissone),039 480729,Metalmeccanica e officine,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.12.1 Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici | fatturato 1.854.030 EUR (2024) | dipendenti da 6 a 9 | 8 km da Seveso | Via Delle Industrie, 9 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/riboldi-srl-08002550153 | telefono: PG «riboldi» in lissone → Riboldi | Via delle Industrie, 9 - 20851 Lissone (MB)",
Bassi E Bellotti Spa (Mariano Comense),031 745050,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Segagione e lavorazione delle pietre e del marmo,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 23.70.1 Segagione e lavorazione delle pietre e del marmo | fatturato 19.436.698 EUR (2024) | dipendenti da 50 a 99 | 7 km da Seveso | Via Como, 73 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/bassi-bellotti-spa-01728980135 | telefono: PG «bassi bellotti» in mariano comense → Bassi & Bellotti S.p.a. | Via Como, 73 - 22066 Mariano Comense (CO)",
Misura Emme Spa (Mariano Comense),"031 754111, 031 754211","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 13.174.686 EUR (2022) | dipendenti da 50 a 99 | 7 km da Seveso | Via Iv Novembre, 72 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/misura-emme-spa-00198870131 | telefono: PG «misura emme» in mariano comense → Misura Emme S.p.a. | Via IV Novembre, 72 - 22066 Mariano Comense (CO)",
Illegno Srl (Mariano Comense),"031 745009, 031 3551266",Ingrosso e distribuzione,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.1 Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale | fatturato 10.737.123 EUR (2024) | dipendenti da 10 a 15 | 7 km da Seveso | Via Gerolamo Colombo, 3 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/illegno-srl-00690500137 | telefono: PG «illegno» in mariano comense → Illegno - S.r.l. | Via Colombo Monsignore Gerolamo, 3 - 22066 Mariano Comense (CO)",
Rovagnati Vincenzo Spa (Mariano Comense),"031 746012, 031 743246","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Tessitura,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 13.2 Tessitura | fatturato 10.501.717 EUR (2023) | dipendenti da 50 a 99 | 7 km da Seveso | Via San Francesco, 19 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/rovagnati-vincenzo-spa-01649150131 | telefono: PG «rovagnati vincenzo» in mariano comense → Rovagnati Vincenzo S.p.a. | Via San Francesco, 19 - 22066 Mariano Comense (CO)",
Armando Rho Srl (Mariano Comense),"031 747463, 031 750650","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31 Fabbricazione di mobili | fatturato 10.279.971 EUR (2024) | dipendenti da 20 a 49 | 7 km da Seveso | Via Per Cabiate, 111 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/armando-rho-srl-01753300134 | telefono: PG «armando rho» in mariano comense → Rho Armando & C. | Via per Cabiate, 111 - 22066 Mariano Comense (CO)",
Termoregolatori Campini Corel Spa (Mariano Comense),"031 7530111, 031 744369","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricita', gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 26.51.29 Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricita', gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori) | fatturato 8.175.807 EUR (2024) | dipendenti da 20 a 49 | 7 km da Seveso | Via Don Guanella, 14 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/termoregolatori-campini-corel-spa-01564970166 | telefono: PG «termoregolatori campini corel» in mariano comense → Termoregolatori Campini Corel S.p.a. | Via Guanella Don Luigi, 1 - 22066 Mariano Comense (CO)",
Ballabio Tranciati S.r.l. (Mariano Comense),"031 3551536, 031 747676",Ingrosso e distribuzione,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.1 Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale | fatturato 5.259.550 EUR (2024) | dipendenti da 6 a 9 | 7 km da Seveso | Via Per Novedrate, 123 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/ballabio-tranciati-srl-02809300136 | telefono: PG «ballabio tranciati» in mariano comense → Ballabio Tranciati S.a.s. | Via per Novedrate, 123 - 22066 Mariano Comense (CO)",
Ume Srl (Mariano Comense),"031 749732, 031 744526","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.21 Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche | fatturato 4.993.134 EUR (2024) | dipendenti da 20 a 49 | 7 km da Seveso | Via Aldo Moro, 37 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/ume-srl-00378820138 | telefono: PG «ume» in mariano comense → Ume S.r.l. | Via Moro Aldo, 37 - 22066 Mariano Comense (CO)",
Erba Srl (Mariano Comense),031 750624,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31 Fabbricazione di mobili | fatturato 3.611.098 EUR (2024) | dipendenti da 20 a 49 | 7 km da Seveso | Via Don Guanella, 28 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/erba-srl-00259750131 | telefono: PG «erba» in mariano comense → Erba S.r.l. | Via Guanella Don Luigi, 28 - 22066 Mariano Comense (CO)",
Grafiche Mariano S.r.l. (Mariano Comense),031 757511,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Stampa e riproduzione di supporti registrati,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 18 Stampa e riproduzione di supporti registrati | fatturato 3.218.809 EUR (2024) | dipendenti da 16 a 19 | 7 km da Seveso | Via Per Cascina Amata, 37 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/grafiche-mariano-srl-09767620157 | telefono: PG «grafiche mariano» in mariano comense → Grafiche Mariano Srl | Via per Cascina Amata, 37 - 22066 Mariano Comense (CO)",
Gm Top S.r.l. (Mariano Comense),031 743413,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 3.210.188 EUR (2024) | dipendenti da 16 a 19 | 7 km da Seveso | Via Sant'agata, 3 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/gm-top-srl-03625480136 | telefono: PG «top» in mariano comense → GM Top | Via S. Agata, 3 - 22066 Mariano Comense (CO)",
One Solution Group Srl (Mariano Comense),377 1831503,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 3.019.264 EUR (2024) | dipendenti da 6 a 9 | 7 km da Seveso | Via Dante Alighieri, 32 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/one-solution-group-srl-03929040131 | telefono: PG «one solution» in mariano comense → One Solution | Via Dante Alighieri, 32 - 22066 Mariano Comense (CO)",
Briut Srl (Mariano Comense),"031 756870, 031 767064",Ingrosso e distribuzione,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.74.1 Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta) | fatturato 2.944.236 EUR (2024) | dipendenti da 20 a 49 | 7 km da Seveso | Via Luigi Fumagalli, SNC - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/briut-srl-01979510136 | telefono: PG «briut» in mariano comense → Briut S.r.l. | Via Fumagalli Luigi Don - 22066 Mariano Comense (CO)",
Bi - Matic Srl (Mariano Comense),"031 751635, 031 751983",Metalmeccanica e officine,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.49.09 Fabbricazione di altre macchine utensili (incluse parti e accessori) nca | fatturato 1.636.788 EUR (2023) | dipendenti da 10 a 15 | 7 km da Seveso | Via La Valle, 23 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/bi-matic-srl-02125320131 | telefono: PG «matic» in mariano comense → Bi - Matic S.r.l. | Via La Valle, 23 - 22066 Mariano Comense (CO)",
Gate Group S.r.l. (Mariano Comense),"031 744048, 031 3552224",Metalmeccanica e officine,"Riparazione e manutenzione di macchine ed attrezzature per ufficio (esclusi computer, periferiche, fax)",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 33.12.51 Riparazione e manutenzione di macchine ed attrezzature per ufficio (esclusi computer, periferiche, fax) | fatturato 1.274.143 EUR (2024) | dipendenti da 6 a 9 | 7 km da Seveso | Via Dante Alighieri, 32 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/gate-group-srl-03256340138 | telefono: PG «gate» in mariano comense → Gate Group S.r.l. | Via Dante Alighieri, 32 - 22066 Mariano Comense (CO)",
Erba Elettroimpianti S.r.l. (Mariano Comense),"031 752475, 338 6257543",Impiantistica e cantieri,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Impiantistica e cantieri | ATECO 43.21.01 Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione) | fatturato 1.102.274 EUR (2024) | dipendenti da 6 a 9 | 7 km da Seveso | Via Sant'antonio, 1 - | GANCIO: Rapportini di cantiere dal telefono: ore, materiali e stato commessa senza ribattitura in ufficio | fonte companyreports.it/erba-elettroimpianti-srl-03922440130 | telefono: PG «erba elettroimpianti» in mariano comense → Erba Elettroimpianti | Via Sant'Antonio da Padova, 1 - 22066 Mariano Comense (CO)",
Abrasivi E Adesivi Srl (Meda),"0362 340900, 0362 341701, 0362 347408, 0362 344695",Ingrosso e distribuzione,Commercio all'ingrosso di prodotti chimici per l'industria,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.75.02 Commercio all'ingrosso di prodotti chimici per l'industria | fatturato 9.104.461 EUR (2024) | dipendenti da 16 a 19 | 3 km da Seveso | Via Vignazzola, 121 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/abrasivi-e-adesivi-srl-11665620156 | telefono: PG «abrasivi adesivi» in meda → Abrasivi e Adesivi S.r.l. | Via Vignazzola, 121 - 20821 Meda (MB)",
Penelope Oggi S.p.a. (Meda),0362 600115,Ingrosso e distribuzione,Commercio all'ingrosso di tessuti,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.41.1 Commercio all'ingrosso di tessuti | fatturato 7.684.834 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Indipendenza, 160 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/penelope-oggi-spa-04635530969 | telefono: PG «penelope oggi» in meda → Penelope Oggi S.p.a. | Via Indipendenza, 161 - 20821 Meda (MB)",
Giulio Marelli Italia Spa (Meda),0362 342116,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 7.534.057 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Indipendenza, 159 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/giulio-marelli-italia-spa-01271670158 | telefono: PG «giulio marelli» in meda → Giulio Marelli Italia S.p.a. | Via Indipendenza, 159 - 20821 Meda (MB)",
Denia Serramenti S.r.l. (Meda),0362 528177,Metalmeccanica e officine,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.12.1 Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici | fatturato 7.395.779 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Umberto Pace, SNC - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/denia-serramenti-srl-10668510968 | telefono: PG «denia serramenti» in meda → Denia Serramenti | Via Pace Umberto, 6 - 20821 Meda (MB)",
Lombarda Carni S.r.l. (Meda),0362 276279,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Lavorazione e conservazione di carne (escluso volatili),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.11 Lavorazione e conservazione di carne (escluso volatili) | fatturato 5.432.602 EUR (2023) | dipendenti da 6 a 9 | 3 km da Seveso | Via Ferrara, 18 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/lombarda-carni-srl-09189650964 | telefono: PG «lombarda carni» in meda → Lombarda Carni S.r.l. | Via Ferrara, 16 - 20821 Meda (MB)",
Asnaghi Interiors S.r.l. (Meda),"0362 7714, 0362 72776, 0362 771434, 348 8051203","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri mobili,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09 Fabbricazione di altri mobili | fatturato 3.975.290 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Molino, 0002 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/asnaghi-interiors-srl-09174750159 | telefono: PG «asnaghi interiors» in meda → Asnaghi Interiors S.r.l. | Via Molino, 2 - 20821 Meda (MB)",
Turati Cucine Srl (Meda),0362 343945,Ingrosso e distribuzione,Commercio all'ingrosso di mobili di qualsiasi materiale,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.47.1 Commercio all'ingrosso di mobili di qualsiasi materiale | fatturato 3.943.953 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Viale Piave, 59 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/turati-cucine-srl-10035080968 | telefono: PG «turati cucine» in meda → Turati Cucine | Via Vignazzola, 131 - 20821 Meda (MB)",
Itallegno S.p.a. (Meda),"0362 75301, 0362 688863",Ingrosso e distribuzione,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.1 Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale | fatturato 3.584.212 EUR (2024) | dipendenti da 6 a 9 | 3 km da Seveso | Via Marco Polo, 0010 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/itallegno-spa-03218290157 | telefono: PG «itallegno» in meda → Itallegno S.p.a. | Via Polo Marco, 10 - 20821 Meda (MB)",
Bemade Srl (Meda),340 0567815,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di poltrone e divani,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.3 Fabbricazione di poltrone e divani | fatturato 3.212.961 EUR (2024) | dipendenti da 16 a 19 | 3 km da Seveso | Via Marco Polo, 37 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/bemade-srl-12261400969 | telefono: PG «bemade» in meda → Bemade | Via Marco Polo, 37 - 20821 Meda (MB)",
Annibale Colombo S.r.l. (Meda),0362 71283,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di mobili per arredo domestico,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.09.1 Fabbricazione di mobili per arredo domestico | fatturato 3.049.337 EUR (2024) | dipendenti da 16 a 19 | 3 km da Seveso | Via Verdi, 28/30 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/annibale-colombo-srl-05950430156 | telefono: PG «annibale colombo» in meda → Annibale Colombo S.r.l. | Via Verdi Giuseppe, 28 - 20821 Meda (MB)",
Meucci Tendenze Tessili S.r.l. (Meda),0362 342701,Ingrosso e distribuzione,Commercio all'ingrosso di tessuti,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.41.1 Commercio all'ingrosso di tessuti | fatturato 2.749.674 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Einaudi, 10/12 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/meucci-tendenze-tessili-srl-09114170963 | telefono: PG «meucci tendenze tessili» in meda → Meucci Tendenze Tessili | Via Einaudi, 10/12 - 20821 Meda (MB)",
